FILE: content-warning.php
Line	Column	Type	Code	Message	Edit Link
712	16	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotSanitized	Detected usage of a non-sanitized input variable: $_POST['user_id']	View in code editor (opens in a new tab)
713	16	WARNING	WordPress.Security.NonceVerification.Missing	Processing form data without nonce verification.	View in code editor (opens in a new tab)
713	16	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotValidated	Detected usage of a possibly undefined superglobal array index: $_POST['post_id']. Use isset() or empty() to check the index exists before using it	View in code editor (opens in a new tab)
713	16	WARNING	WordPress.Security.ValidatedSanitizedInput.MissingUnslash	$_POST['post_id'] not unslashed before sanitization. Use wp_unslash() or similar	View in code editor (opens in a new tab)
713	16	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotSanitized	Detected usage of a non-sanitized input variable: $_POST['post_id']	View in code editor (opens in a new tab)
715	42	WARNING	WordPress.Security.NonceVerification.Missing	Processing form data without nonce verification.	View in code editor (opens in a new tab)
715	42	WARNING	WordPress.Security.ValidatedSanitizedInput.MissingUnslash	$_POST['selected_text'] not unslashed before sanitization. Use wp_unslash() or similar	View in code editor (opens in a new tab)
716	22	WARNING	WordPress.Security.NonceVerification.Missing	Processing form data without nonce verification.	View in code editor (opens in a new tab)
716	22	WARNING	WordPress.Security.ValidatedSanitizedInput.MissingUnslash	$_POST['tags'] not unslashed before sanitization. Use wp_unslash() or similar	View in code editor (opens in a new tab)
716	22	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotSanitized	Detected usage of a non-sanitized input variable: $_POST['tags']	View in code editor (opens in a new tab)
1038	17	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotValidated	Detected usage of a possibly undefined superglobal array index: $_POST['postTags']. Use isset() or empty() to check the index exists before using it	View in code editor (opens in a new tab)
1038	17	WARNING	WordPress.Security.ValidatedSanitizedInput.MissingUnslash	$_POST['postTags'] not unslashed before sanitization. Use wp_unslash() or similar	View in code editor (opens in a new tab)
1038	17	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotSanitized	Detected usage of a non-sanitized input variable: $_POST['postTags']	View in code editor (opens in a new tab)
1150	16	WARNING	WordPress.Security.NonceVerification.Missing	Processing form data without nonce verification.	View in code editor (opens in a new tab)
1150	57	WARNING	WordPress.Security.NonceVerification.Missing	Processing form data without nonce verification.	View in code editor (opens in a new tab)
1154	13	WARNING	WordPress.Security.NonceVerification.Missing	Processing form data without nonce verification.	View in code editor (opens in a new tab)
1154	13	WARNING	WordPress.Security.ValidatedSanitizedInput.MissingUnslash	$_POST['content_warning_tags'] not unslashed before sanitization. Use wp_unslash() or similar	View in code editor (opens in a new tab)
1154	13	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotSanitized	Detected usage of a non-sanitized input variable: $_POST['content_warning_tags']	View in code editor (opens in a new tab)
1229	15	WARNING	WordPress.Security.NonceVerification.Missing	Processing form data without nonce verification.	View in code editor (opens in a new tab)
1230	37	WARNING	WordPress.Security.NonceVerification.Missing	Processing form data without nonce verification.	View in code editor (opens in a new tab)
1237	15	WARNING	WordPress.Security.NonceVerification.Missing	Processing form data without nonce verification.	View in code editor (opens in a new tab)
1238	37	WARNING	WordPress.Security.NonceVerification.Missing	Processing form data without nonce verification.	View in code editor (opens in a new tab)
1259	53	WARNING	WordPress.Security.ValidatedSanitizedInput.MissingUnslash	$_POST['nonce'] not unslashed before sanitization. Use wp_unslash() or similar	View in code editor (opens in a new tab)
1259	53	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotSanitized	Detected usage of a non-sanitized input variable: $_POST['nonce']	View in code editor (opens in a new tab)
1262	53	WARNING	WordPress.Security.ValidatedSanitizedInput.MissingUnslash	$_POST['nonce'] not unslashed before sanitization. Use wp_unslash() or similar	View in code editor (opens in a new tab)
1262	53	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotSanitized	Detected usage of a non-sanitized input variable: $_POST['nonce']	View in code editor (opens in a new tab)
1265	20	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotValidated	Detected usage of a possibly undefined superglobal array index: $_POST['type']. Use isset() or empty() to check the index exists before using it	View in code editor (opens in a new tab)
1265	20	WARNING	WordPress.Security.ValidatedSanitizedInput.MissingUnslash	$_POST['type'] not unslashed before sanitization. Use wp_unslash() or similar	View in code editor (opens in a new tab)
1265	20	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotSanitized	Detected usage of a non-sanitized input variable: $_POST['type']	View in code editor (opens in a new tab)
1273	23	WARNING	WordPress.Security.ValidatedSanitizedInput.MissingUnslash	$_POST['activities'] not unslashed before sanitization. Use wp_unslash() or similar	View in code editor (opens in a new tab)
1273	23	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotSanitized	Detected usage of a non-sanitized input variable: $_POST['activities']	View in code editor (opens in a new tab)
1324	54	WARNING	WordPress.Security.ValidatedSanitizedInput.MissingUnslash	$_POST['nonce'] not unslashed before sanitization. Use wp_unslash() or similar	View in code editor (opens in a new tab)
1324	54	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotSanitized	Detected usage of a non-sanitized input variable: $_POST['nonce']	View in code editor (opens in a new tab)
1358	53	WARNING	WordPress.Security.ValidatedSanitizedInput.MissingUnslash	$_POST['nonce'] not unslashed before sanitization. Use wp_unslash() or similar	View in code editor (opens in a new tab)
1358	53	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotSanitized	Detected usage of a non-sanitized input variable: $_POST['nonce']	View in code editor (opens in a new tab)
